MATK,HOTEN,SDT,EMAIL,CCCD,GIOITINH,NGAYSINH,DIEM_LOYALTY,SOTIENDATIEU,MACAPBAC
21,Tú Đức Phạm,0984704569,user21@example.com,713034260780,Nữ,1995-06-25,3217,3988061,3
22,Nam Xuân Hoàng,0927408282,user22@example.com,555148347386,Nữ,1991-11-14,176,18479746,1
23,Quý ông Phúc Trần,0942710830,user23@example.com,722263074833,Nam,1993-01-20,4394,19529496,2
24,Phương Trần,0913010524,user24@example.com,504564434486,Nữ,1993-07-10,3807,16551052,2
25,Hương Đặng,0938346789,user25@example.com,760349958614,Nam,1991-12-20,2698,15321202,2
26,Ánh Dương,0985214958,user26@example.com,856684915874,Nữ,1993-03-22,2965,12782247,3
27,Duyên Đặng,0957514631,user27@example.com,411386980962,Nam,1991-12-27,323,3664084,2
28,Bảo Phạm,0937333592,user28@example.com,478896231429,Nam,1991-01-15,237,3560663,3
29,Bà Hải Bùi,0953830486,user29@example.com,712919260488,Nam,2005-08-21,1329,7208854,1
30,Tú Đặng,0945363502,user30@example.com,839284081912,Nữ,1998-01-21,858,4015511,2
31,Bà Ánh Đặng,0993886491,user31@example.com,323872721745,Nữ,2005-03-27,2272,7993943,3
32,Thành Văn Bùi,0999987902,user32@example.com,847270542360,Nữ,1999-05-29,4122,13499852,3
33,Cô Linh Dương,0971713916,user33@example.com,847391234894,Nữ,2003-02-05,3239,3276052,2
34,Quý ông Quang Trần,0958246562,user34@example.com,979700624454,Nữ,1994-09-30,1164,12061477,2
35,Chị Phương Vũ,0990807165,user35@example.com,961362069046,Nam,2001-06-03,1764,19450552,2
36,Bảo Thị Nguyễn,0969637164,user36@example.com,108406570561,Nam,1991-03-09,917,12520360,1
37,Thành Trí Đặng,0978281725,user37@example.com,722643447142,Nam,2005-05-29,4355,1634594,2
38,Quý cô Hà Vũ,0990132387,user38@example.com,693636096211,Nam,1997-10-23,919,7995675,2
39,Ông Phúc Lê,0982086227,user39@example.com,465931578638,Nữ,2002-02-21,232,2059800,1
40,Bác Khoa Lê,0953452962,user40@example.com,351665178011,Nam,1998-03-22,1898,12133201,3
41,Châu Lê,0943598784,user41@example.com,298038803835,Nam,1995-08-25,4029,12308896,2
42,Bà Mai Bùi,0969076848,user42@example.com,284804352175,Nữ,2001-05-01,1522,9268655,1
43,Cô Phương Bùi,0991670197,user43@example.com,959940328501,Nữ,2005-12-25,4055,105958,2
44,Quý cô Yến Đặng,0950691704,user44@example.com,206990657606,Nữ,1994-07-15,755,12510592,1
45,Nhật Tấn Nguyễn,0916052112,user45@example.com,640179854793,Nữ,1992-04-08,4356,2529329,1
46,Hải Thị Vũ,0974262146,user46@example.com,775216448599,Nữ,1996-09-12,1758,13603446,1
47,Phương Trí Hoàng,0973428353,user47@example.com,203472762055,Nữ,1999-12-30,561,14738887,1
48,Cô Hà Đặng,0969218180,user48@example.com,956296190014,Nữ,1992-04-13,3485,729846,1
49,Phúc Trí Mai,0921812529,user49@example.com,568155321600,Nữ,1998-09-01,2464,5859977,2
50,Khoa Mai,0910879198,user50@example.com,829432469159,Nữ,1999-01-21,2602,7525100,3
51,Quý cô Hải Vũ,0937855903,user51@example.com,117881795935,Nữ,1999-06-16,20,7636832,3
52,Bác Huy Đặng,0963859480,user52@example.com,467011329586,Nữ,2005-01-05,4817,14222378,2
53,Trung Mai,0947384965,user53@example.com,974827617151,Nữ,2005-03-20,2473,18431620,3
54,Tú Bùi,0957598616,user54@example.com,277782342485,Nữ,1994-09-07,452,6539574,2
55,Hải Mai Bảo Đặng,0928405178,user55@example.com,784776079358,Nữ,2005-12-21,2584,3035643,1
56,Nhật Mai,0919889510,user56@example.com,960015934517,Nam,1995-10-21,3946,7494939,3
57,Quý ông Anh Hoàng,0962916214,user57@example.com,143262141119,Nam,1993-10-10,3954,10316106,2
58,Bà Lâm Đặng,0913966130,user58@example.com,734903503454,Nữ,1995-08-05,3807,15227264,1
59,Quý cô Lâm Nguyễn,0961018763,user59@example.com,198308747695,Nữ,1992-05-31,1664,10625998,2
60,Ông Thành Đặng,0921429360,user60@example.com,330183773401,Nam,2003-12-15,2448,19853050,2
61,Hưng Bảo Bùi,0947544470,user61@example.com,881389586147,Nam,2005-02-11,4701,18469930,2
62,Anh Quang Dương,0989427015,user62@example.com,900268899909,Nữ,1997-04-05,4035,14166474,1
63,Nhật Hoàng Trần,0928872361,user63@example.com,269895914581,Nam,1990-09-28,1145,17535793,2
64,Chị Thảo Nguyễn,0957831557,user64@example.com,128426096658,Nam,1992-05-27,4398,6337369,1
65,Yến Phạm,0924157072,user65@example.com,114683567455,Nữ,1997-11-11,1122,18654067,1
66,Kim Trần,0927877002,user66@example.com,832358839066,Nam,1992-11-21,4373,14162360,3
67,Cô Vân Bùi,0956011777,user67@example.com,166824588403,Nữ,1993-09-17,756,1849547,3
68,Cô An Bùi,0971284677,user68@example.com,657122520358,Nam,1991-07-01,4762,3896473,3
69,Hạnh Hoàng,0926586184,user69@example.com,376984103224,Nam,1993-12-10,3932,11460760,3
70,Thành Lê,0920938009,user70@example.com,264500879116,Nam,1990-05-30,2564,17941039,3
71,Vi Đặng,0935382141,user71@example.com,601324460471,Nữ,1997-06-18,531,16487582,3
72,Quý ông Tú Đặng,0917934216,user72@example.com,684795917191,Nữ,2004-08-27,879,2656815,2
73,Bà An Vũ,0927072590,user73@example.com,374930537834,Nữ,1991-05-26,2245,11028907,1
74,Quý cô Kim Mai,0936175171,user74@example.com,539849128878,Nam,1990-08-17,3355,10983187,2
75,Khoa Đức Mai,0950837297,user75@example.com,828139198227,Nữ,2000-09-23,3243,1281404,3
76,Vũ Nguyễn,0945794169,user76@example.com,784230516640,Nam,2000-09-17,83,15909963,1
77,Quý ông Tú Hoàng,0910364568,user77@example.com,933161629161,Nữ,1996-09-30,3859,13406172,3
78,Kim Văn Bùi,0977168525,user78@example.com,897751057548,Nam,1996-10-04,2459,10202503,2
79,Quang Mai Bảo Lê,0916490990,user79@example.com,610380272322,Nam,1995-12-13,2007,7631337,3
80,Hải Vũ,0918413347,user80@example.com,482684099492,Nam,1999-01-22,4105,16412822,1
81,Cô Hồng Đặng,0965557697,user81@example.com,186200722197,Nữ,2001-03-21,2029,12582427,3
82,Châu Đức Dương,0921315326,user82@example.com,328416766959,Nữ,1994-12-04,2102,12181766,3
83,Chi Vũ,0990166027,user83@example.com,925352946794,Nam,2002-04-27,4422,9721500,3
84,Bà Ngọc Lê,0919770164,user84@example.com,863694767914,Nam,1990-06-22,3779,10835171,2
85,Nhật Trần,0968517408,user85@example.com,204430084229,Nữ,1992-08-07,1701,17288523,2
86,Trung Thế Nguyễn,0962602528,user86@example.com,298705039373,Nữ,2001-02-05,3313,1937335,1
87,Bà Yến Lê,0943282681,user87@example.com,250233670100,Nam,1991-02-17,1878,11719733,1
88,Lâm Quang Phạm,0929022973,user88@example.com,585824891893,Nữ,1997-06-21,1836,9670615,3
89,Anh Châu Lê,0971404615,user89@example.com,291102099143,Nam,1990-08-07,1640,12654894,2
90,Nhật Thị Dương,0915819010,user90@example.com,611555708492,Nữ,2004-02-05,1691,8229617,1
91,Quang Nguyễn,0982848362,user91@example.com,273331547121,Nữ,2001-10-06,1040,4853782,3
92,Ông Tùng Nguyễn,0946403107,user92@example.com,989519951941,Nữ,2002-10-27,1342,7047124,2
93,Thảo Phạm,0935768740,user93@example.com,232285818345,Nam,2001-11-01,2849,8934309,3
94,Quý cô Yến Trần,0913718922,user94@example.com,718490898633,Nữ,2002-07-29,4772,15052674,3
95,Vũ Nguyễn,0953668165,user95@example.com,423700385516,Nam,2000-07-29,4514,14292150,2
96,Bảo Hải Bùi,0954697416,user96@example.com,369012507351,Nữ,1996-10-19,1583,15328875,2
97,Hoàng Phạm,0913757887,user97@example.com,706225437564,Nam,2004-07-15,3178,8443419,2
98,Quý cô Phương Hoàng,0931606228,user98@example.com,533057894996,Nữ,1999-12-31,1689,4038063,3
99,Bảo Phạm,0929892859,user99@example.com,856585361138,Nam,1995-06-20,1911,3889989,3
100,Phúc Bùi,0960986561,user100@example.com,824696976616,Nam,2004-04-13,2646,890436,1
101,Trung Thị Mai,0984798964,user101@example.com,535160656582,Nam,1997-02-18,3406,10296454,2
102,Cô Hải Mai,0918036448,user102@example.com,269631265913,Nữ,1998-05-28,3673,10626299,2
103,Kim Lê,0932702495,user103@example.com,730359860076,Nữ,1999-04-04,3034,6097566,2
104,Quý cô Thảo Hoàng,0945889214,user104@example.com,680467281791,Nữ,1995-12-21,373,12111605,2
105,Chị Hạnh Phạm,0999724601,user105@example.com,780974025968,Nữ,1993-12-19,744,483536,3
106,Nhật Hoàng,0961515577,user106@example.com,865875949375,Nam,1996-11-26,3919,16812833,2
107,Vũ Đức Lê,0941325314,user107@example.com,888862966004,Nữ,1999-01-16,2376,6415247,1
108,Phúc Trần,0971084335,user108@example.com,673780906126,Nam,1998-09-17,2472,58429,2
109,Hoàng Bùi,0924155769,user109@example.com,954099818238,Nữ,1996-01-25,2085,1315249,3
110,Vi Nguyễn,0935897097,user110@example.com,707025695972,Nữ,2002-05-16,1514,12668047,2
111,Trung Dương,0930778599,user111@example.com,160791181717,Nam,1992-07-05,3920,16208062,3
112,Cô Linh Nguyễn,0964530944,user112@example.com,493302985048,Nam,1995-04-02,4351,1202369,3
113,Quý cô Lâm Lê,0962353667,user113@example.com,875003729550,Nữ,2001-04-16,556,3154052,2
114,Nam Bùi,0999015801,user114@example.com,970480111250,Nữ,2003-01-24,4952,212180,1
115,Hoàng Đức Trần,0998854953,user115@example.com,742164353601,Nam,2001-10-15,1765,3819661,1
116,Chị Ánh Lê,0944822987,user116@example.com,964521112661,Nữ,1991-02-05,4076,15823215,3
117,Hạnh Thị Lê,0923380072,user117@example.com,523812292307,Nam,2004-10-27,4072,12183848,2
118,Quý cô Chi Bùi,0992496106,user118@example.com,861379860991,Nữ,1994-02-26,3384,12595544,2
119,Chị Yến Lê,0971055288,user119@example.com,510485924050,Nam,1991-03-07,4271,7154702,3
120,Cô Vi Trần,0955572486,user120@example.com,363797619851,Nữ,1994-04-02,4185,13894453,2
121,Chị An Phạm,0917988237,user121@example.com,738881597949,Nữ,2003-03-23,434,19646400,3
122,Chị Lan Mai,0956250084,user122@example.com,415162520145,Nữ,2002-08-28,3479,3528454,3
123,Minh Bùi,0963567396,user123@example.com,476258948417,Nam,2005-02-09,956,9923544,3
124,Bảo Phú Hoàng,0928235377,user124@example.com,837744490838,Nữ,2003-09-29,3230,4982869,3
125,Phương Lê,0969445714,user125@example.com,523480522918,Nam,1995-11-21,3757,10682535,1
126,Hạnh Hoàng,0994142426,user126@example.com,685187154552,Nữ,1994-03-25,2173,12318948,3
127,Chi Vũ,0941136441,user127@example.com,794846413498,Nam,1994-03-26,2138,15432972,1
128,Hải Hoàng,0987519878,user128@example.com,195481846203,Nữ,1998-11-04,31,3858707,2
129,Vũ Hải Nguyễn,0947535383,user129@example.com,872405553826,Nam,1991-08-13,2077,18319246,1
130,Huy Dương,0913486560,user130@example.com,794574016621,Nam,1997-06-05,2427,11962322,1
131,Chị Thành Lê,0985706017,user131@example.com,533963126944,Nam,1993-07-22,2161,1385183,2
132,Ông Minh Trần,0987227926,user132@example.com,335839268996,Nam,1993-08-02,4446,3617105,2
133,Linh Mai,0943618745,user133@example.com,666855709344,Nam,1992-09-27,1317,4761624,2
134,Kim Đặng,0939962171,user134@example.com,590346207617,Nữ,2000-09-25,2929,13628672,1
135,Bà Thành Hoàng,0935316130,user135@example.com,983230442838,Nữ,1991-12-24,4076,12769878,1
136,Thành Phạm,0920144144,user136@example.com,815639516949,Nữ,1998-11-15,189,1168482,1
137,Bà Lâm Hoàng,0985873511,user137@example.com,265344054517,Nam,1990-09-28,4149,12621085,3
138,Ông Quang Dương,0941493601,user138@example.com,914924781338,Nam,1998-07-19,2593,19441417,3
139,Châu Hoàng,0938659421,user139@example.com,713339266495,Nữ,1996-03-22,2828,9657991,2
140,Vân Mai,0953929936,user140@example.com,466856583409,Nữ,2001-10-20,4495,9996609,1
141,An Mai Hoàng,0960865470,user141@example.com,129819529510,Nam,1998-04-21,3839,13551698,1
142,Nhật Trần,0963884494,user142@example.com,177528314967,Nam,2004-11-13,575,13217301,3
143,Hà Hoàng,0932871624,user143@example.com,765750762144,Nam,2002-03-20,3092,10501122,1
144,Khoa Đức Vũ,0952203300,user144@example.com,683326189525,Nữ,1993-10-07,4811,9678640,2
145,Bà Thảo Dương,0947762669,user145@example.com,970781988782,Nam,1994-04-27,3867,622467,2
146,Chi Trần,0938853844,user146@example.com,440531595379,Nam,2004-03-16,2457,6439140,3
147,Anh Tùng Mai,0973498757,user147@example.com,151100880903,Nữ,1998-04-15,4625,11043869,1
148,Dương Nguyễn,0976203476,user148@example.com,622011541688,Nam,1994-09-06,3604,13560857,1
149,Nhật Đặng,0961461902,user149@example.com,950698693846,Nữ,1990-08-23,2109,17543083,1
150,Bảo Quang Dương,0938475627,user150@example.com,556451113865,Nam,2001-03-27,2800,10914515,1
151,Bác Khoa Dương,0957390057,user151@example.com,335678926003,Nữ,2005-06-26,546,14003163,3
152,Hải Nguyễn,0989758591,user152@example.com,415915154906,Nam,1996-03-04,4162,3270214,3
153,Chị Nhật Bùi,0965893203,user153@example.com,473828431987,Nam,1999-02-09,340,6461030,1
154,Dương Nguyễn,0975936454,user154@example.com,976697387961,Nữ,2000-04-16,447,8929035,1
155,Bảo Đặng,0967592946,user155@example.com,770865629688,Nữ,1997-12-24,933,2686280,1
156,Bà Vi Hoàng,0994231462,user156@example.com,340768482711,Nữ,2001-08-30,1250,2129495,1
157,Dương Mai,0933005088,user157@example.com,684973906786,Nữ,1992-05-13,682,133884,1
158,Vũ Phạm,0947848623,user158@example.com,340202847577,Nam,2005-05-19,3354,8546088,1
159,Vi Phạm,0984537732,user159@example.com,489675724617,Nữ,1990-08-08,4512,12988443,1
160,Vi Trần,0930828771,user160@example.com,400758795975,Nam,2001-04-10,2852,7813706,1
161,Vân Đặng,0947975351,user161@example.com,724385014022,Nam,1990-12-26,4695,19658179,2
162,Anh Bảo Bùi,0924932276,user162@example.com,366346372010,Nữ,1995-11-25,312,11988619,1
163,Bà An Lê,0968377258,user163@example.com,552761031290,Nam,1995-03-14,1506,14164108,2
164,Quý ông Trọng Hoàng,0990467123,user164@example.com,938426606126,Nam,1997-07-26,1294,1452936,2
165,Minh Bùi,0987097306,user165@example.com,361730716682,Nam,1992-05-10,2006,9388837,1
166,Cô Mai Lê,0912239917,user166@example.com,523165922564,Nam,1996-09-30,1118,6439860,1
167,Khoa Mai Bảo Lê,0951319368,user167@example.com,528185878029,Nam,1991-10-22,4862,1734769,3
168,Châu Dương,0967573158,user168@example.com,299472106885,Nữ,2002-07-21,1034,11599194,3
169,Hạnh Quang Dương,0978881331,user169@example.com,406449902605,Nữ,2005-01-22,4935,3451066,1
170,Bà Khoa Trần,0956449331,user170@example.com,399344719641,Nữ,2004-05-03,4970,8511000,1
171,Vũ Trần,0947776923,user171@example.com,261278856679,Nữ,2003-02-07,652,15019043,2
172,Lâm Hải Vũ,0939223904,user172@example.com,535348850119,Nữ,1997-04-10,119,14759020,2
173,Nhật Trí Đặng,0971578756,user173@example.com,426059520990,Nam,2000-03-12,2852,19532087,1
174,Bà Mai Mai,0947442555,user174@example.com,334195862420,Nữ,1998-07-04,4255,810530,2
175,Anh Tùng Lê,0911836260,user175@example.com,917921348523,Nữ,2003-12-28,1938,2391450,1
176,Quang Nguyễn,0916290583,user176@example.com,374477392667,Nữ,1997-10-28,3017,5401139,1
177,Khoa Thị Đặng,0966990693,user177@example.com,297853937669,Nam,2000-03-14,1696,5234417,1
178,Yến Hoàng,0987171363,user178@example.com,355675693749,Nam,1990-05-17,3021,15178306,3
179,Nhật Vũ,0996659406,user179@example.com,813080412484,Nam,1999-04-24,3149,2287938,2
180,Cô Hải Hoàng,0961292594,user180@example.com,744296299525,Nữ,1996-01-26,4635,12840090,3
181,Quý cô Thành Bùi,0981999961,user181@example.com,320876414763,Nữ,1990-12-24,1376,6138528,3
182,Chị Hạnh Nguyễn,0971778335,user182@example.com,309173018299,Nữ,1997-01-09,4075,4429728,1
183,Phúc Lê,0947649203,user183@example.com,403194201603,Nam,2000-01-22,4784,5540431,3
184,Linh Đặng,0977405844,user184@example.com,358777462382,Nam,2002-10-27,4245,10055969,1
185,Lan Dương,0991400493,user185@example.com,227153333440,Nam,2004-09-10,1038,14942459,2
186,Phương Mai Bảo Mai,0990459224,user186@example.com,457354338452,Nam,2002-10-04,3042,17442118,3
187,Khoa Trí Nguyễn,0958326384,user187@example.com,156755938834,Nam,1990-06-03,1728,11888521,1
188,Dũng Bảo Hoàng,0992505698,user188@example.com,369026137167,Nam,1995-03-06,681,7967943,3
189,Anh Minh Vũ,0989863095,user189@example.com,446182177307,Nam,2002-07-13,979,10876062,3
190,Nam Nguyễn,0963364557,user190@example.com,272062695464,Nam,2003-03-15,60,9232931,2
191,Quý cô Lan Lê,0997504105,user191@example.com,304010339839,Nữ,1997-10-03,492,11320787,1
192,Bảo Xuân Dương,0996133316,user192@example.com,417285529438,Nam,2001-03-22,3066,7493042,1
193,Chị Phương Mai,0937881885,user193@example.com,174655142063,Nữ,1996-07-04,400,17271834,1
194,Bà Lâm Lê,0988573544,user194@example.com,695751844716,Nữ,1998-02-06,4284,6275690,1
195,Thành Đức Mai,0910800164,user195@example.com,140940225886,Nữ,1996-12-29,4037,15527849,1
196,Linh Trần,0993873109,user196@example.com,673135514690,Nữ,2000-12-10,218,1871269,1
197,Kim Bùi,0985581424,user197@example.com,248308657736,Nam,2000-10-06,4625,16305141,2
198,Vũ Đặng,0942850576,user198@example.com,945750479402,Nữ,2005-02-15,3169,17304453,3
199,Quang Đặng,0939167368,user199@example.com,998981694641,Nữ,2005-02-14,542,2753144,3
200,Phương Phú Bùi,0998954801,user200@example.com,871424092981,Nữ,1996-03-22,3045,5300922,2
201,Nhật Phạm,0915321780,user201@example.com,663198112823,Nam,1997-09-29,2025,17027058,1
202,Ánh Hoàng,0981031931,user202@example.com,857787040262,Nữ,1992-10-05,1060,769202,1
203,Tú Đức Bùi,0944549604,user203@example.com,940292314753,Nam,1990-11-20,84,11308292,1
204,Ông Tùng Hoàng,0959742111,user204@example.com,443859363869,Nữ,1992-01-05,535,11674878,3
205,Cô Linh Lê,0977008874,user205@example.com,504524677350,Nam,1996-02-14,920,9447688,1
206,Anh Châu Lê,0923295658,user206@example.com,265273121834,Nam,1998-02-23,3013,9183563,2
207,Hải Quang Nguyễn,0981245659,user207@example.com,281295942118,Nam,1999-08-16,749,17530917,3
208,Quang Đặng,0951791124,user208@example.com,674832639170,Nam,1999-01-16,4976,7560362,1
209,Phúc Đặng,0996532489,user209@example.com,884665640744,Nam,1995-06-22,604,8266678,1
210,Nhật Lê,0998191306,user210@example.com,986753649092,Nam,1999-12-14,3555,2893441,3
211,Xuân Bùi,0947423748,user211@example.com,934561298637,Nữ,1995-12-11,3628,8059190,2
212,Quý cô An Đặng,0942690108,user212@example.com,597641954951,Nam,2001-06-14,1751,5193835,1
213,Bảo Tấn Dương,0971836839,user213@example.com,189022141681,Nữ,1999-02-27,2454,17361866,2
214,An Bảo Hoàng,0912202417,user214@example.com,987492516383,Nam,1991-07-14,2959,311974,3
215,Quý cô Hà Trần,0915580849,user215@example.com,438192565868,Nam,2003-02-06,1011,4286669,1
216,Quý cô Nhật Bùi,0918216434,user216@example.com,322240048154,Nam,1997-06-29,3031,17302945,3
217,Chị Ngọc Lê,0994386123,user217@example.com,869053867924,Nữ,2002-08-12,2761,12753938,1
218,Anh Trí Trần,0951505586,user218@example.com,498164813277,Nam,1992-06-28,2566,6395001,1
219,Hạnh Trần,0928629426,user219@example.com,731083564380,Nữ,1991-01-11,1862,16424426,2
220,Thành Lê,0962814780,user220@example.com,375922030702,Nam,2003-10-07,1626,12557158,3
221,Hương Dương,0929058079,user221@example.com,821843071761,Nam,1993-06-01,1686,19047398,1
222,Vân Hoàng,0934716762,user222@example.com,648166518554,Nữ,1992-09-23,1395,15805880,2
223,Nam Bùi,0990464512,user223@example.com,765682144283,Nữ,1992-07-28,1469,13445662,1
224,Bà Nhật Bùi,0928539527,user224@example.com,506949595296,Nam,2004-02-28,4388,5179700,1
225,Tú Đặng,0965010762,user225@example.com,919239511292,Nam,2000-07-23,3176,8106999,1
226,Bà Ánh Đặng,0918499026,user226@example.com,439222757172,Nam,1992-11-04,339,6674711,1
227,An Văn Hoàng,0966374392,user227@example.com,236656164046,Nữ,2005-05-10,3247,14630613,2
228,Ánh Dương,0991665221,user228@example.com,830661788430,Nam,1990-05-01,4069,13318158,2
229,Hà Văn Phạm,0971368456,user229@example.com,417624199202,Nam,1992-03-14,2418,116717,2
230,Cô Khoa Dương,0959850992,user230@example.com,537894322119,Nữ,1992-04-07,4558,12596747,2
231,Chị An Vũ,0910281349,user231@example.com,976254027206,Nữ,2000-02-25,398,11221244,3
232,Lâm Bảo Vũ,0998615056,user232@example.com,426091999062,Nam,2003-01-23,4941,6982121,3
233,Châu Bảo Lê,0969201865,user233@example.com,207357319358,Nam,1997-03-29,2385,3735303,3
234,Cô Hạnh Bùi,0991289484,user234@example.com,276725150598,Nữ,2001-09-27,1220,19856484,1
235,Quý ông Trọng Nguyễn,0918698350,user235@example.com,335148208910,Nữ,2002-09-16,3782,17556302,2
236,Phương Lê,0993299950,user236@example.com,439629656235,Nam,2005-05-25,1732,3408765,3
237,Thành Mai Hoàng,0961987346,user237@example.com,795745555439,Nam,2005-10-03,1945,10264549,3
238,Trung Hữu Hoàng,0957770773,user238@example.com,695659975533,Nam,1998-08-02,3386,2043957,3
239,Bảo Bùi,0942469826,user239@example.com,497852422330,Nữ,1999-12-29,4712,15895558,2
240,Ông Châu Hoàng,0936628008,user240@example.com,261388031319,Nam,2002-11-22,212,2155801,2
241,Cô Ánh Mai,0922498305,user241@example.com,818217657081,Nam,2004-11-09,980,10221124,2
242,Yến Trần,0943762657,user242@example.com,392051838042,Nữ,1994-05-05,607,3666943,2
243,Kim Tấn Dương,0938060406,user243@example.com,693819155353,Nam,1996-03-25,2919,17896659,3
244,Quý cô Lan Đặng,0954816326,user244@example.com,903405433932,Nam,1998-05-29,3254,13532994,2
245,Cô Hương Trần,0952321390,user245@example.com,108921293689,Nam,1992-03-16,2909,10389775,2
246,Bảo Văn Trần,0974321793,user246@example.com,670049082527,Nữ,1990-10-29,4789,1704285,1
247,Kim Vũ,0965263072,user247@example.com,206558240671,Nữ,2003-07-12,2142,9187581,2
248,Khoa Lê,0918532470,user248@example.com,764406270488,Nữ,2002-07-28,1575,4230213,1
249,Thành Phạm,0916199118,user249@example.com,790417755744,Nam,1994-05-09,2004,1048290,1
250,Chị Hà Mai,0955300600,user250@example.com,744885033167,Nữ,1998-08-20,2977,1466935,2
251,Bà Thành Dương,0992250919,user251@example.com,326742808824,Nam,1995-06-06,1452,9146401,1
252,Lan Vũ,0986702310,user252@example.com,355096439639,Nữ,1999-06-05,2483,12117783,1
253,Bác Vũ Vũ,0980643480,user253@example.com,703507109152,Nam,2002-01-23,1909,19676825,2
254,Chị Lan Đặng,0964095224,user254@example.com,309871267418,Nữ,2005-01-14,2338,207442,3
255,Bảo Dương,0997458961,user255@example.com,892072275192,Nữ,1990-02-24,3055,2014284,1
256,Vũ Mai Bảo Đặng,0955379895,user256@example.com,943547274257,Nam,2001-12-21,4654,17648289,3
257,Chị Ngọc Hoàng,0932087160,user257@example.com,332726196340,Nữ,2000-10-16,2157,17484888,2
258,Khoa Trí Trần,0917040148,user258@example.com,796045019446,Nữ,1999-09-03,1395,6764572,3
259,Quý cô Xuân Bùi,0975541609,user259@example.com,210263238307,Nữ,2001-06-07,3494,13923289,1
260,Hà Hoàng,0938784263,user260@example.com,108815772417,Nữ,1997-02-27,2548,9989135,2
261,Nam Bùi,0958138669,user261@example.com,372710719183,Nam,1991-09-28,3715,3001359,2
262,Hà Hoàng Dương,0987549444,user262@example.com,279569414176,Nữ,1997-08-06,2381,11727744,1
263,Hoàng Mai Bảo Vũ,0915045575,user263@example.com,974652084774,Nam,1994-12-29,3999,16347557,1
264,Anh Tú Bùi,0936362947,user264@example.com,601854364019,Nam,1991-03-26,4894,13744622,3
265,Bảo Quang Bùi,0984511735,user265@example.com,323829060428,Nam,1997-11-03,273,11377975,2
266,Bà Nhật Dương,0947534701,user266@example.com,972758448893,Nam,1993-10-18,30,6530019,1
267,Nam Hoàng,0922404958,user267@example.com,539544600063,Nữ,2001-10-17,2854,12742142,3
268,Quang Đặng,0920431613,user268@example.com,455439919753,Nữ,1994-12-19,1603,13217821,1
269,Lâm Đức Mai,0955169609,user269@example.com,573333072612,Nam,2003-01-04,3336,5860425,1
270,Quý cô An Hoàng,0988379036,user270@example.com,433941693591,Nữ,1995-10-04,2007,17033509,1
271,Bác Anh Phạm,0992917360,user271@example.com,606650177123,Nữ,1996-05-03,971,10019178,2
272,Tùng Đức Vũ,0938879782,user272@example.com,224909768878,Nam,1990-03-15,4472,10433988,3
273,Lan Mai,0956225050,user273@example.com,545558334509,Nữ,1995-10-23,4719,5255271,3
274,Chị Ngọc Trần,0990222735,user274@example.com,110966351929,Nam,1994-03-08,3566,9958076,1
275,Phương Bảo Phạm,0948865217,user275@example.com,845520838671,Nữ,1995-02-24,4464,1652424,2
276,Ánh Lê,0993857456,user276@example.com,594482992890,Nữ,1997-02-10,4366,12502578,3
277,An Quang Lê,0952530152,user277@example.com,935485733457,Nam,2003-09-01,3271,13691311,3
278,Hà Hoàng,0953748275,user278@example.com,694621925273,Nam,2002-01-06,2525,4168329,3
